post_id,title,category,score,num_comments,author,collected_at
47624691,HarfBuzz Slug Support with WebGL,N/A,28,5,mcraiha,"Sunday, April 05, 2026 13:46:41"
47624736,NHS staff refusing to use FDP over Palantir ethical concerns,N/A,350,163,chrisjj,"Sunday, April 05, 2026 13:46:41"
47645432,Introduction to Computer Music (2009) [pdf],technology,133,41,luu,"Sunday, April 05, 2026 13:46:41"
47627527,Build your own Dial-up ISP with a Raspberry Pi,N/A,200,35,arjunbajaj,"Sunday, April 05, 2026 13:46:41"
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,11,4,bookmtn,"Sunday, April 05, 2026 13:46:41"
47597159,Improving my focus by giving up my big monitor,N/A,182,173,Fudgel,"Sunday, April 05, 2026 13:46:41"
47624440,A CSS Engine in OCaml,N/A,26,0,p4bl0,"Sunday, April 05, 2026 13:46:41"
47639524,"Author of ""Careless People"" banned from saying anything negative about Meta",N/A,782,506,macleginn,"Sunday, April 05, 2026 13:46:41"
47613078,Inside Nepal's Fake Rescue Racket,N/A,306,131,lode,"Sunday, April 05, 2026 13:46:41"
47645696,Towards end-to-end automation of AI research,technology,6,0,hardmaru,"Sunday, April 05, 2026 13:46:41"
47640984,"Iran's Network of Cameras Bolsters Air Defenses, Expert Says",technology,46,17,uxhacker,"Sunday, April 05, 2026 13:46:41"
47639199,No One at Waffle House Remembers FEMA Official Who Says He Teleported In,N/A,49,27,planewave,"Sunday, April 05, 2026 13:46:41"
47605374,Scientists crack a 20-year nuclear mystery behind the creation of gold,N/A,86,39,prabal97,"Sunday, April 05, 2026 13:46:41"
47625952,Show HN: I built a frontpage for personal blogs,entertainment,755,190,ramkarthikk,"Sunday, April 05, 2026 13:46:41"
47620039,"Reporting potholes with an ESP32, LoRA, and AI",technology,33,0,flakespancakes,"Sunday, April 05, 2026 13:46:41"
47589818,Cohere Transcribe: Speech Recognition,N/A,219,69,gmays,"Sunday, April 05, 2026 13:46:41"
47634690,Delve removed from Y Combinator,N/A,478,292,carabiner,"Sunday, April 05, 2026 13:46:41"
47641164,Polymarket apologizes for allowing wagers on fate of U.S. pilots downed in Iran,worldnews,29,22,ceejayoz,"Sunday, April 05, 2026 13:46:41"
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,532,183,detaro,"Sunday, April 05, 2026 13:46:41"
47629485,A case study in testing with 100+ Claude agents in parallel,science,49,42,thejash,"Sunday, April 05, 2026 13:46:41"
47611993,VR Realizes the Cyberspace Metaphor,science,13,6,dryadin,"Sunday, April 05, 2026 13:46:41"
47643656,The Oxygen Apocalpyse: how bacteria used a spin diode to wipe out ancient life,N/A,19,3,KR_compchem,"Sunday, April 05, 2026 13:46:41"
47616242,Decisions that eroded trust in Azure – by a former Azure Core engineer,N/A,1245,631,axelriet,"Sunday, April 05, 2026 13:46:41"
47615434,Delve allegedly forked an open-source tool and sold it as its own,N/A,322,175,nickvec,"Sunday, April 05, 2026 13:46:41"
47615449,Artemis II will use laser beams to live-stream 4K moon footage at 260 Mbps,science,373,152,speckx,"Sunday, April 05, 2026 13:46:41"
47592462,I traced my traffic through a home Tailscale exit node,technology,154,72,stonecharioteer,"Sunday, April 05, 2026 13:46:41"
47598413,C89cc.sh – standalone C89/ELF64 compiler in pure portable shell,N/A,197,60,gaigalas,"Sunday, April 05, 2026 13:46:41"
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,60,angst,"Sunday, April 05, 2026 13:46:41"
47629433,iNaturalist,N/A,520,130,bookofjoe,"Sunday, April 05, 2026 13:46:41"
47638532,"Show HN: Ownscribe – local meeting transcription, summarization and search",entertainment,11,0,paberr,"Sunday, April 05, 2026 13:46:41"
47618100,Yggdrasil Network,technology,122,60,Velocifyer,"Sunday, April 05, 2026 13:46:41"
47626462,Big-Endian Testing with QEMU,N/A,113,127,jandeboevrie,"Sunday, April 05, 2026 13:46:41"
47637353,SQLite in Production: Lessons from Running a Store on a Single File,N/A,27,13,thunderbong,"Sunday, April 05, 2026 13:46:41"
47593861,Maze Algorithms (1997),N/A,88,35,marukodo,"Sunday, April 05, 2026 13:46:41"
47644667,Nvim-treesitter (13K+ Stars) is Archived,N/A,92,22,RohanAdwankar,"Sunday, April 05, 2026 13:46:41"
47621825,I Built an SMS Gateway with a $20 Android Phone – Jonno.nz,N/A,90,41,jonno-nz,"Sunday, April 05, 2026 13:46:41"
47637757,Embarrassingly simple self-distillation improves code generation,technology,587,176,Anon84,"Sunday, April 05, 2026 13:46:41"
47640440,"""Privacy. That's iPhone."" – and Other Things That Need an Asterisk",N/A,12,2,upofadown,"Sunday, April 05, 2026 13:46:41"
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,technology,36,6,j0rg3,"Sunday, April 05, 2026 13:46:41"
47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,388,245,eichin,"Sunday, April 05, 2026 13:46:41"
47627419,The Axios supply chain attack used individually targeted social engineering,technology,46,11,cmitsakis,"Sunday, April 05, 2026 13:46:41"
47609882,Subscription bombing and how to mitigate it,N/A,303,180,homelessdino,"Sunday, April 05, 2026 13:46:41"
47613118,Show HN: I built a small app for FSI German Course,entertainment,24,6,syedmsawaid,"Sunday, April 05, 2026 13:46:41"
47638075,"The CMS is dead, long live the CMS",N/A,141,86,taubek,"Sunday, April 05, 2026 13:46:41"
47636600,"Apple at 50, blind people and our allies shaping Apple accessibility innovation",technology,8,2,sholladay,"Sunday, April 05, 2026 13:46:41"
47641615,Sopwith – 1984 Game (2000),sports,93,40,elvis70,"Sunday, April 05, 2026 13:46:41"
47645095,Evacuation of U.S. troops from Mideast base sends community groups scrambling,worldnews,38,12,ceejayoz,"Sunday, April 05, 2026 13:46:41"
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,779,364,hkmaxpro,"Sunday, April 05, 2026 13:46:41"
47614532,Ruckus: Racket for iOS,N/A,120,10,nsm,"Sunday, April 05, 2026 13:46:41"
47632750,Show HN: TinyOS – A minimalist RTOS for Cortex-M written in C,entertainment,100,43,hpscript,"Sunday, April 05, 2026 13:46:41"
47597119,Claude wrote a full FreeBSD remote kernel RCE with root shell,N/A,269,105,ishqdehlvi,"Sunday, April 05, 2026 13:46:41"
47593634,Ordinary Lab Gloves May Have Skewed Microplastic Data,technology,139,62,WaitWaitWha,"Sunday, April 05, 2026 13:46:41"
47641277,A new gene therapy is giving people born deaf the chance to hear,N/A,49,5,bilsbie,"Sunday, April 05, 2026 13:46:41"
47608604,Why LLM-Generated Passwords Are Dangerously Insecure,technology,19,24,zdw,"Sunday, April 05, 2026 13:46:41"
47645025,"Show HN: Contrapunk – Real-time counterpoint harmony from guitar input, in Rust",entertainment,55,19,waveywaves,"Sunday, April 05, 2026 13:46:41"
47587089,"Zml-smi: universal monitoring tool for GPUs, TPUs and NPUs",technology,35,6,steeve,"Sunday, April 05, 2026 13:46:41"
47617415,Good ideas do not need lots of lies in order to gain public acceptance (2008),technology,363,198,sedev,"Sunday, April 05, 2026 13:46:41"
47619879,U.S. is burning through Tomahawk cruise missile stockpile,N/A,75,66,uticus,"Sunday, April 05, 2026 13:46:41"
47639291,The Indie Internet Index – submit your favorite sites,N/A,137,27,freshman_dev,"Sunday, April 05, 2026 13:46:41"
47618120,Hugo's New CSS Powers,N/A,52,16,speckx,"Sunday, April 05, 2026 13:46:41"
47641057,Astronomers Find a Third Galaxy Missing Its Dark Matter,N/A,28,6,gostsamo,"Sunday, April 05, 2026 13:46:41"
47615490,Artemis computer running two instances of MS outlook; they can't figure out why,technology,492,358,mooreds,"Sunday, April 05, 2026 13:46:41"
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,194,128,pseudolus,"Sunday, April 05, 2026 13:46:41"
47635929,Naming rights to street auctioned in San Francisco,N/A,19,15,18nleung,"Sunday, April 05, 2026 13:46:41"
47618084,Cursor 3,N/A,538,399,adamfeldman,"Sunday, April 05, 2026 13:46:41"
47592068,Why Inventing Color TV Was So Difficult [video],N/A,42,12,DamnInteresting,"Sunday, April 05, 2026 13:46:41"
47587339,DCJ11Hack+ – DEC PDP/11 based homebrew computer,technology,30,1,zdw,"Sunday, April 05, 2026 13:46:41"
47609492,50 years measuring the cleanest air,technology,23,5,defrost,"Sunday, April 05, 2026 13:46:41"
47625244,Critics say EU risks ceding control of its tech laws under U.S. pressure,technology,239,138,nickslaughter02,"Sunday, April 05, 2026 13:46:41"
47621518,Tor Alva: The Tallest 3D-Printed Building in the World,N/A,44,14,sohkamyung,"Sunday, April 05, 2026 13:46:41"
47646363,Modern Generic SVGA driver for Windows 3.1,N/A,25,3,userbinator,"Sunday, April 05, 2026 13:46:41"
47640728,Show HN: A game where you build a GPU,technology,683,149,Jaso1024,"Sunday, April 05, 2026 13:46:41"
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,10,0,andsoitis,"Sunday, April 05, 2026 13:46:41"
47632503,"Iran strikes leave Amazon availability zones ""hard down"" in Bahrain and Dubai",technology,238,118,upofadown,"Sunday, April 05, 2026 13:46:41"
47616361,Google releases Gemma 4 open models,N/A,1769,462,jeffmcjunkin,"Sunday, April 05, 2026 13:46:41"
47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,48,52,luca-ctx,"Sunday, April 05, 2026 13:46:41"
47630795,"Hello, World",N/A,92,23,reconnecting,"Sunday, April 05, 2026 13:46:41"
47613981,LinkedIn is searching your browser extensions,N/A,1873,758,digitalWestie,"Sunday, April 05, 2026 13:46:41"
47624804,Category Theory Illustrated – Types,N/A,106,19,boris_m,"Sunday, April 05, 2026 13:46:41"
47601194,"The Cathedral, the Bazaar, and the Winchester Mystery House",N/A,181,62,dbreunig,"Sunday, April 05, 2026 13:46:41"
47640537,The White House App Is Riddled with Cybersecurity Vulnerabilities,N/A,14,1,OrangePilled,"Sunday, April 05, 2026 13:46:41"
47644808,The machines are fine. I'm worried about us,N/A,13,2,Plasmoid,"Sunday, April 05, 2026 13:46:41"
47639077,Caveman Mode Save Token?,N/A,15,7,brightball,"Sunday, April 05, 2026 13:46:41"
47623101,A Rave Review of Superpowers (For Claude Code),technology,46,25,emschwartz,"Sunday, April 05, 2026 13:46:41"
47633116,The house is a work of art: Frank Lloyd Wright,N/A,111,63,midnightfish,"Sunday, April 05, 2026 13:46:41"
47616157,Software never had a soul,technology,9,2,firloop,"Sunday, April 05, 2026 13:46:41"
47626242,Second Revision of 6502 Laptop,N/A,11,0,uticus,"Sunday, April 05, 2026 13:46:41"
47645235,Brain scans reveal how to enters a psychedelic-like trance without drugs,technology,46,8,ingenika,"Sunday, April 05, 2026 13:46:41"
47640728,Show HN: A game where you build a GPU,technology,683,149,Jaso1024,"Sunday, April 05, 2026 13:46:41"
47604887,Electrical transformer manufacturing is throttling the electrified future,N/A,82,72,toomuchtodo,"Sunday, April 05, 2026 13:46:41"
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),technology,39,22,Realman78,"Sunday, April 05, 2026 13:46:41"
47609356,Artemis II's toilet is a moon mission milestone,science,325,170,1659447091,"Sunday, April 05, 2026 13:46:41"
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,69,12,laszlokorte,"Sunday, April 05, 2026 13:46:41"
47601570,"Csp-toolkit – Python library to parse, analyze, and find bypasses in CSP headers",N/A,12,1,bitscraper,"Sunday, April 05, 2026 13:46:41"
47641255,Plague Ships (2020),N/A,47,10,bryanrasmussen,"Sunday, April 05, 2026 13:46:41"
47603657,Artemis II Launch Day Updates,N/A,1093,951,apitman,"Sunday, April 05, 2026 13:46:41"
